Title,Description,Offer Semester,Lecturers,Assessments,Workload
"""CCST9081 – All You’ve Ever Wanted to Know About Humans""","This course is under the thematic cluster(s) of:Humans, people, Homo sapiens… who, or what, are we? Although we can marvel at the amazing accomplishments of our species (technology, art, biological adaptations), how much is actually known about our own evolution and development that has enabled us to get to this point?This course will take you on a six-million-year-long journey and challenge you to rethink what makes us human. How is it that we diverged from our ape and monkey cousins and went down an evolutionary pathway distinctly our own, yet still connected to other species? How did we go from living as hunter-gatherers to now being members of a globally interlinked population of over 7 billion? Why is it that we still have so much conflict, injustice, and inequity? Does that define us, or does compassion, cooperation and community-building?Borrowing from history, linguistics, forensic science, cultural studies, genetics and the biological sciences to better understand the human condition, we will also come to better understand ourselves as contemporary historians, scientific thinkers and social groups. This journey from the distant past to the present, with a glance toward the future, requires no previous knowledge of the topics, but only the curiosity to look into a mirror and see what we can find out about what it means to be “human”.",First semester (Wed),"- Dr M.B.C. Rivera Applied Oral Sciences and Community Dental Care of the Faculty of Dentistry: Email: mrivera@hku.hk
- Dr M.B.C. Rivera Applied Oral Sciences and Community Dental Care of the Faculty of Dentistry: Email: mrivera@hku.hk
","- Participation in classroom activities: 10
- Assignments: 25
- Public exhibition: 50
- Written reflections: 15","- Lectures: 24
- Tutorials: 12
- Fieldwork / Visits: 8
- Reading / Self-study: 18
- Assessment: Assignments: 35
- Assessment: Essay / Report writing: 18
- Assessment: Presentation (incl preparation): 20
- Total: 135"
"""CCCH9026 – Rule of Law and China’s Economic Miracle""","This course aims to explore an intriguing puzzle in the rise of contemporary China: How has the country achieved rapid economic growth in the past four decades in the absence of Western-style legal and democratic systems, both of which are conventionally viewed to be essential to economic development? Arising from this puzzle is heated debate worldwide over the relative efficacy of the so-called Beijing vs. Washington Consensuses. In order to unwind this puzzle, the course examines three key issues: (i) how China’s economic reform can be understood in the historical and comparative context, specifically the relevance of the East Asian developmental states model; (ii) what role China’s legal system as well as the relationship between law and politics has played in the country’s economic development; (iii) whether China’s experience can be called “growth without rule of law,” and whether it presents viable alternative that may inform other developing economies in their pursuit of prosperity. The course covers the following aspects of the Chinese legal and political systems in investigating their relationship to the country’s economic growth: legitimacy building, decentralization as a constitutional system, courts, governance of state-owned enterprises, formal and informal financing, property rights protection, environmental protection, labor regulation, China’s global economic engagements, and cyber governance.",First semester (Wed),"- Dr Z. Liu Department of Law, Faculty of Law: Tel: Email: liuz@hku.hk
- Dr Z. Liu Department of Law, Faculty of Law: Tel: Email: liuz@hku.hk
- Dr Y. Xia Department of Law, Faculty of Law: Tel: Email: yingxia@hku.hk
","- Lecture and tutorial participation: 30
- Essays: 50
- Presentation: 20","- Lectures: 24
- Tutorials: 12
- Reading / Self-study: 47
- Practicals: 8
- Assessment: Presentation (incl preparation): 29
- Total: 120"
"""CCHU9012 – Body, Beauty and Fashion""","This course is under the thematic cluster(s) of:This course takes students on an exploration of the links between body, beauty and fashion from a variety of perspectives ranging from sociology, social policy, economics, psychology and medicine. These various perspectives together offer students a way of seeing how individual level issues (like self-esteem, stigma and identity) shape and are shaped by community level issues (mass media), societal level issues (gender) and global level issues (globalization and westernization). The course examines these issues in a variety of formats using guest lectures, mass media analysis, video clips, problem solving activities and discussion. The course also focuses on cultural representations and understandings of the human body and ideals of beauty. Although the emphasis is primarily on contemporary Hong Kong society, lectures will also include in-depth analyses of how beauty is culturally constructed and historically situated around the world. To this end, the course is gender inclusive and presents both the female and male perspectives on beauty and body image. In this context, how human bodies and standards of beauty are increasingly influenced by a global media, which promotes a progressively narrow concept of beauty, will be critically discussed. Aside from the media influence on an increasingly globalized interpretation of beauty standards, the course also explores how diet and fashion industries are gaining momentum in shaping beauty ideals. Lectures address other globally and socially constructed aspects of beauty and identity, such as: race, class, culture, ethnicity, sexual identity, age, and ability/disability.",First semester (Wed),"- Professor K.A. Laidler Department of Sociology, Faculty of Social Sciences: Tel: 3917 2059 Email: kjoe@hku.hk
- Dr C.K.M. Tong Department of Sociology, Faculty of Social Sciences: Tel: 3917 4641 Email: ckmtong@hku.hk
- Dr L.F. Cho Department of Sociology, Faculty of Social Sciences: Tel: 3917 4641 Email: lifcho@hku.hk
","- Reflective journal: 35
- In-class quizzes: 30
- Tutorial presentation and participation: 35","- Lectures: 26
- Tutorials: 10
- Reading / Self-study: 25
- Assessment: Essay / Report writing: 40
- Assessment: Presentation (incl preparation): 30
- Assessment: In-class quizzes (incl preparation): 12
- Total: 143"
"""CCGL9032 – Rule of Law in a Globalizing World""","This course is under the thematic cluster(s) of:The footprint of the Rule of Law can be found throughout the world in almost all domestic jurisdictions. However, the Rule of Law is implemented differently across jurisdictions depending on whether a “thin” or “thick” concept of the Rule of Law is applied as well as the goals in introducing the Rule of Law into a society. With these differences, the functions and role of the legal institutions which implement the Rule of Law are also different.Understanding the concept of the Rule of Law to be a continuum provides the context for studying the impact of globalization on the developmental pathway of the Rule of Law. On the one hand, the forces of globalization and the rise of global institutions and non-state actors contribute to the promotion of Rule of Law principles and establishment of rule-based systems at both international and national levels. On the other hand, new issues emerge posing challenges to the Rule of Law in different localities.Students from across all the faculties will work together to understand the developmental processes of the Rule of Law in different societies and the multi-faceted relationships between globalization and the Rule of Law.",Second semester (Wed),"- Dr S. Osella Department of Law, Faculty of Law: Tel: 3917 2937 Email: osella@hku.hk
- Dr S. Osella Department of Law, Faculty of Law: Tel: 3917 2937 Email: osella@hku.hk
","- Essay: 40
- Project: 40
- Performance in tutorials: 20","- Lectures: 24
- Tutorials: 10
- Reading / Self-study: 60
- Assessment: Short essay: 30
- Assessment: Project (incl preparation): 24
- Total: 148"
"""CCCH9044 – Dunhuang and the Silk Road: Art, Culture and Trade""","The Silk Road has long linked the West with China and one of its principle sites is the Cave of Dunhuang. Both Dunhuang and the Silk Road have long been dynamic places for the creation and transmission of diverse cultural content that can be studied from the perspectives of travelers, art and architecture, languages, and many different religious traditions. The Cave’s long and cosmopolitan history has, in fact, become the subject of a distinct academic field known as “Dunhuangology.”How does the art and culture of Dunhuang reflect the cross-cultural features played out in the geographical and sociopolitical contexts of the Silk Road? And how can we understand the importance of preserving such a cultural heritage for future generations, even as the concept of the Silk Road is now being renewed and transformed? This course will adopt interactive teaching approaches to stimulate students’ knowledge of this rich heritage and will also enable students to gain a broader view of Chinese culture and civilization from the Cave of Dunhuang across the commercial and cultural exchanges passing along the Silk Road. Major analytic tools such as stylistic analysis, epigraphy and archeological evidences, etc., drawn from different academic disciplines, will be discussed in the course to illustrate how to find out the purposes of and the skills in creating those artifacts unearthed.The theme-based lectures, which will include reflection and interactive exercises, will be structured around three interrelated topics: 1) the role and influence of Dunhuang on the Silk Road and vice versa, 2) the material, artistic and intellectual cultures along the Silk Road, and 3) the value of cultural heritage and memory as we move into the future. Learning activities will be designed to support and enhance the students’ experience of the course content and learning objectives.[A compulsory field trip will be organized during Reading Week.]",First semester (Wed),"- Dr C.H. Tsui Centre of Buddhist Studies, Faculty of Arts: Tel: 3917 5018 Email: chunghui@hku.hk
- Dr C.H. Tsui Centre of Buddhist Studies, Faculty of Arts: Tel: 3917 5018 Email: chunghui@hku.hk
","- Essay: 35
- Group presentation: 25
- Class participation: 20
- Quizzes: 20","- Lectures: 24
- Tutorials: 12
- Reading / Self-study: 48
- Field trip / Visits: 5
- Assessment: Quizzes: 1
- Assessment: Essay / Report writing: 25
- Assessment: Presentation (incl preparation): 15
- Total: 130"
"""CCCH5044 – Dunhuang and the Silk Road: Art, Culture and Trade (Online)""","[Lectures and tutorials of this course will be delivered online.]The Silk Road has long linked the West with China and one of its principle sites is the Cave of Dunhuang. Both Dunhuang and the Silk Road have long been dynamic places for the creation and transmission of diverse cultural content that can be studied from the perspectives of travelers, art and architecture, languages, and many different religious traditions. The Cave’s long and cosmopolitan history has, in fact, become the subject of a distinct academic field known as “Dunhuangology.” How does the art and culture of Dunhuang reflect the cross-cultural features played out in the geographical and sociopolitical contexts of the Silk Road? And how can we understand the importance of preserving such a cultural heritage for future generations, even as the concept of the Silk Road is now being renewed and transformed? This course will adopt interactive teaching approaches to stimulate students’ knowledge of this rich heritage and will also enable students to gain a broader view of Chinese culture and civilization from the Cave of Dunhuang across the commercial and cultural exchanges passing along the Silk Road. Major analytic tools such as stylistic analysis, epigraphy and archeological evidences, etc., drawn from different academic disciplines, will be discussed in the course to illustrate how to find out the purposes of and the skills in creating those artifacts unearthed.The theme-based lectures, which will include reflection and interactive exercises, will be structured around three interrelated topics: 1) the role and influence of Dunhuang on the Silk Road and vice versa, 2) the material, artistic and intellectual cultures along the Silk Road, and 3) the value of cultural heritage and memory as we move into the future. Learning activities will be designed to support and enhance the students’ experience of the course content and learning objectives.",Second semester (Wed),"- Dr C.H. Tsui Centre of Buddhist Studies, Faculty of Arts: Tel: 3917 5018 Email: chunghui@hku.hk
- Dr C.H. Tsui Centre of Buddhist Studies, Faculty of Arts: Tel: 3917 5018 Email: chunghui@hku.hk
","- Essay: 35
- Group presentation: 25
- Class participation: 20
- Quizzes: 20","- Lectures: 24
- Tutorials: 12
- Reading / Self-study: 48
- Assessment: Quizzes: 1
- Assessment: Essay / Report writing: 25
- Assessment: Presentation (incl preparation): 15
- Total: 125"
"""CCGL9035 – Challenges of Global Governance: Past and Present""","This course is under the thematic cluster(s) of:This course explores how states and internal organizations confront and solve a variety of transnational problems ranging from climate change to transnational terrorism. In particular, the course examines why international cooperation is often weak or non-existent despite the dizzying number of international challenges that require cross-border cooperation.The course begins by borrowing insights from different paradigms to investigate the challenges to global governance. Then, the course applies these insights to a variety of global issues such as global public health, terrorism, refugee crises, etc. By drawing from a diverse set of perspectives from disciplines that range from psychology to economics and political science, students will obtain the analytical skills to evaluate current transnational problems facing policymakers and all of us as participants in a globalized world.Students, by the end of the course, will be better able to position themselves in relationship to the decomplexities of global governance.",First semester (Wed),"- Dr W.M. Chow Department of Politics and Public Administration, Faculty of Social Sciences: Tel: 3917 2393 Email: wilfred.chow@hku.hk
- Dr W.M. Chow Department of Politics and Public Administration, Faculty of Social Sciences: Tel: 3917 2393 Email: wilfred.chow@hku.hk
","- Performance in tutorials: 10
- Lecture participation: 10
- Group presentation: 20
- Written report: 25
- Peer evaluation: 5
- Take-home test: 30","- Lectures: 24
- Tutorials: 10
- Reading / Self-study: 36
- Consultation with the instructor: 12
- Group work: 12
- Assessment: Essay / Report writing: 26
- Assessment: Presentation (incl preparation): 2
- Total: 122"
"""CCST9032 – “Intelligent” Architecture and Sustainability""","This course is under the thematic cluster(s) of:Emerging in our midst is intelligent architecture, which in this course refers to intelligent built environments: dynamic systems with the capacity to respond intelligently and immediately to various human and environmental stimuli for our benefit. What makes these built environments “intelligent” is their ability to react positively and spontaneously to forces of nature, to fluctuating climates, to human activity, to cultural nuances and to human expectations. Intelligent architecture harnesses not only evolving technology but also valuable insights and lessons from the forms and processes that occur in nature. This enables it to provide enhanced productivity, safety, comfort and quality living. The central aim of this course is to explore the world of intelligent built environments and the mutual impact, relationships and evolution they have in the culture and daily lives of people. First-hand exploration involving experiential learning and direct activation of the senses, will be a key component of the course. This complements discussions that would uncover and reveal, in broad and general terms, the underlying principles and technologies that allow buildings to perform smartly. Students will also be encouraged to unleash their imagination to construct future scenarios that the concept of intelligent architecture may lead to.",First semester (Wed),"- Dr B.S. Jia Department of Architecture, Faculty of Architecture: Tel: 2219 4260 Email: bjiaa@hku.hk
- Dr B.S. Jia Department of Architecture, Faculty of Architecture: Tel: 2219 4260 Email: bjiaa@hku.hk
","- Short paper assignments: 40
- Group assignment activity and presentation: 35
- Individual final report: 25","- Lectures: 24
- Tutorials: 8
- Seminars: 4
- Fieldwork / Visits: 8
- Reading / Self-study: 40
- Assessment: Essay / Report writing: 12
- Assessment: Presentation (incl preparation): 18
- Assessment: Homework assignments: 18
- Total: 132"
"""CCST9018 – Origin and Evolution of Life""","This course is under the thematic cluster(s) of:Among the most fundamental questions we can ask ourselves as humans are: Where do we come from – how did life begin and evolve? Are we alone – is the Earth unique in our universe in supporting life? Where are we going – what is the long-term future for humankind? These questions focus on the origin, evolution and future of life, a field of study termed “astrobiology”. Answers to these questions have been sought via scientific inquiry throughout human history and technological advances have now created paradigm shifts in the way that society reconciles new scientific findings with accepted norms and belief-systems. The course will examine: (i) how the conditions for life arose on early Earth and perhaps elsewhere and how advances in science and technology have changed our perception of the origins of life; (ii) the various scientific studies supporting the emergence of life, the evolution and diversification of life beginning with simple molecular systems, compartments (cells) to the evolution of intelligent self-conscious life; and (iii) the societal implications of discovering extraterrestrial life.",Second semester (Wed),"- Dr K.H. Lemke Department of Earth Sciences, Faculty of Science: Tel: 2241 5474 Email: kono@hku.hk
- Dr K.H. Lemke Department of Earth Sciences, Faculty of Science: Tel: 2241 5474 Email: kono@hku.hk
- Dr Yiliang Li Department of Earth Sciences, Faculty of Science: Tel: 2859 8021 Email: yiliang@hku.hk
","- Essay: 25
- Poster presentation: 25
- Group debates: 20
- In-class test: 30","- Lectures: 24
- Tutorials: 12
- Reading / Self-study: 40
- Assessment: Essay / Report writing: 15
- Assessment: Presentation (incl preparation): 15
- Assessment: In-class test (incl preparation): 15
- Total: 121"
"""CCGL9067 – Companies and People: Friends or Foes?""","[This is a certified Communication-intensive (Ci) Course which meets all of the requirements endorsed by HKU’s Senate, including i) the teaching and assessment of visual and digital communication ‘literacies’; and ii) at least 40% of the course grade assigned to communication-rich assessment tasks.] Do you know the differences between “businesses,” “companies,” and “corporations”? This course will explore how individuals and groups of people came to transact business through companies, and what the increasing impacts have been of corporate growth on the world. The invention of the “company” as a way to do business has been pivotal to dramatically raising living standards around the world and spurring innovation in countless industries. Today, nearly every business larger than a street vendor is conducted through a corporate form, and most people living in industrialized nations are employed by companies. Yet as companies have grown ever richer, they have increased in power and political influence, and heightened social inequalities, leading much of the public to put the blame for societal problems like climate change, wealth gaps, and recurring financial crises on companies (especially large, multinational firms).This course will investigate the impact of the corporation on individuals and humanity, asking questions about how (or whether) societies should regulate corporations to enhance human welfare. Its assessments are designed to help students learn to respond logically and thoughtfully to these issues, as well as to form real-world, transferable skills like different means of persuasion, crafting effective writing for a public, and forming mock companies.",First semester (Wed),"- Mr B.L. Lefler Faculty of Business and Economics (Accounting and Law): Tel: 3917 4218 Email: blefler@hku.hk
- Mr B.L. Lefler Faculty of Business and Economics (Accounting and Law): Tel: 3917 4218 Email: blefler@hku.hk
","- Journal writing: 20
- Proposal writing: 25
- Video production: 25
- Class participation: 30","- Lectures: 24
- Tutorials: 10
- Reading / Self-study: 48
- Assessment: Journal writing: 12
- Assessment: Essay / Proposal writing: 14
- Assessment: Video production: 20
- Total: 128"
